id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Johnson;Schowalter;Fausto17@gmail.com;Yen synthesize Creative;2019-07-10T04:55:56;67569;34106
2;Murray;Bruen;Thurman_Lindgren25@gmail.com;deposit;2019-07-09T12:37:11;98216;55520
3;Jose;Lehner;Deangelo96@gmail.com;Virginia THX pink;2019-07-10T01:32:24;34920;70035
4;Mohammed;Stamm;Russel_Torphy@hotmail.com;invoice Unbranded Cheese;2019-07-09T10:40:04;66898;60642
5;Kris;Altenwerth;Barry_Weimann@yahoo.com;clear-thinking;2019-07-10T00:54:15;54873;48561
6;Mathew;King;Zane71@yahoo.com;Networked;2019-07-10T00:25:24;17882;74649
7;Frederick;O'Connell;Rosina.Reichel@hotmail.com;Benin Berkshire;2019-07-09T16:57:40;26520;25046
8;Dee;McKenzie;Wilfred_Huel@hotmail.com;withdrawal cross-platform Borders;2019-07-09T18:23:14;66892;49251
9;Salvatore;Dietrich;Misael57@gmail.com;calculate;2019-07-10T07:11:11;17711;99455
10;Tristian;Koss;Dustin.Volkman74@hotmail.com;Factors;2019-07-10T00:17:42;42818;55276
